Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Season
DAL,Gonzalez,Jesse,GK,"$60,000","$69,375.00",2015
COL,Alvarez,Carlos,M,"$70,000","$70,000.00",2015
NE,Hall,Jeremy,D,"$70,000","$70,000.00",2015
DC,Coria,Facundo,M,"$60,000","$70,375.00",2015
RSL,Ovalle,Adolfo,M,"$60,000","$70,500.00",2015
RSL,Glad,Justen,D,"$60,000","$71,000.00",2015
SEA,Lowe,Damion,D,"$60,375","$71,375.00",2015
MTL,Miller,Eric,M/D,"$60,375","$71,375.00",2015
NYCFC,McNamara,Thomas,M,"$60,000","$71,500.00",2015
SJ,Stephenson,Khari,M,"$68,254","$71,645.94",2015
COL,Calvert,Caleb,F,"$65,000","$72,500.00",2015
SJ,Pelosi,Marc,M,"$60,000","$72,500.00",2015
POR,Gleeson,Jake,GK,"$72,600","$72,600.00",2015
NYCFC,Meara,Ryan,GK,"$71,663","$72,913.00",2015
COL,Serna,Dillon,M,"$60,000","$73,000.00",2015
KC,Abdul-Salaam,Saad,D,"$60,000","$73,750.00",2015
KC,Hallisey,Connor,M,"$60,000","$73,750.00",2015
LA,Meyer,Tommy,D,"$60,000","$73,750.00",2015
DC,Jeffrey,Jared,M,"$68,250","$74,450.00",2015
NYRB,Miazga,Matt,D,"$68,250","$74,500.00",2015
ORL,Boden,Luke,D,"$75,000","$75,000.00",2015
PHI,Catic,Dzenan,F,"$60,000","$75,000.00",2015
VAN,Lewis,Andre,M,"$60,000","$75,000.00",2015
MTL,Mallace,Calum,M,"$60,000","$75,000.00",2015
SEA,Pappa,Marco,M,"$75,000","$75,000.00",2015
CHI,Polster,Matt,D,"$60,000","$75,000.00",2015
COL,Ramirez,Juan Edgardo,M,"$75,000","$75,000.00",2015
COL,Sjoberg,Axel,D,"$60,000","$75,000.00",2015
POR,Thoma,Andy,D-M,"$60,000","$75,000.00",2015
CHI,Harden,Ty,D,"$71,663","$75,078.20",2015
HOU,Sturgis,Nathan,D-M,"$71,250","$75,375.00",2015
TOR,Hamilton,Jordan,F,"$63,000","$75,500.00",2015
SJ,Alashe,Fatai,M,"$60,000","$76,250.00",2015
HOU,Steinberger,Zach,M,"$60,000","$76,250.00",2015
HOU,Cochran,AJ,D,"$60,375","$76,375.00",2015
DAL,Zendejas,Alejandro,F,"$60,000","$76,666.67",2015
ORL,Avila,Eric,M,"$72,000","$77,000.00",2015
DAL,Craft,Coy,F,"$60,000","$77,083.33",2015
DAL,Earle,Otis,D,"$60,000","$77,125.00",2015
CHI,Cyrus,Daneil,D,"$72,000","$77,833.33",2015
VAN,Parker,Tim,D,"$60,000","$78,750.00",2015
VAN,Mezquida,Nicolas,M-F,"$80,000","$80,000.00",2015
RSL,Okwuonu,Boyd,D,"$60,000","$80,000.00",2015
VAN,Tornaghi,Paolo,GK,"$80,000","$80,000.00",2015
TOR,Bono,Alex,GK,"$60,000","$80,200.00",2015
CLB,Swanson,Ben,M,"$60,000","$80,416.67",2015
POR,Besler,Nick,M,"$65,000","$81,250.00",2015
HOU,Horst,David,D,"$78,750","$81,500.00",2015
NYCFC,Watson-Siriboe,Kwame,D,"$65,000","$81,666.67",2015
DC,Robinson,Jalen,D,"$70,000","$82,000.00",2015
NE,Knighton,Brad,GK,"$82,005","$82,005.00",2015
TOR,Delgado,Marco,M,"$80,000","$82,500.00",2015
ORL,Mwanga,Danny,F,"$75,000","$82,500.00",2015
NE,Davies,Charlie,F,"$78,750","$82,759.53",2015
NYCFC,Ballouchy,Mehdi,M,"$68,250","$83,250.00",2015
POR,Zemanski,Ben,M,"$81,033","$83,533.00",2015
RSL,Mulholland,Luke,M,"$82,500","$83,750.00",2015
COL,Riley,James,D,"$77,500","$83,750.00",2015
DAL,Acosta,Kellyn,M,"$60,000","$84,000.00",2015
DC,Martin,Collin,M,"$70,000","$84,166.67",2015
KC,Melia,Tim,GK,"$80,000","$84,203.33",2015
NYCFC,Taylor,Tony,F,"$75,000","$84,375.00",2015
VAN,Techera,Cristian,F,"$60,000","$85,000.00",2015
ORL,Carrasco,Servando,M,"$80,750","$85,375.00",2015
DAL,Garcia,Danny,M,"$70,000","$86,000.00",2015
NYRB,Stolz,Leo,M,"$70,000","$86,250.00",2015
MTL,Williams,Romario,F,"$65,000","$87,000.00",2015
DAL,Akindele,Tesho,F,"$70,000","$87,500.00",2015
NYCFC,Shelton,Khiry,F,"$70,000","$87,500.00",2015
CLB,Klute,Chris,D,"$82,500","$87,802.09",2015
MTL,Bekker,Kyle,M,"$61,765","$88,015.00",2015
TOR,Chapman,Jay,M,"$70,000","$88,500.00",2015
RSL,Allen,Jordan,M/F,"$80,000","$90,000.00",2015
CHI,Busch,Jon,GK,"$85,000","$90,000.00",2015
CLB,Jimenez,Hector,M,"$90,000","$90,000.00",2015
NYCFC,Saunders,Josh,GK,"$90,000","$90,000.00",2015
HOU,Willis,Joe,GK,"$90,000","$90,000.00",2015
NYRB,Reynish,Kyle,GK,"$86,000","$90,316.67",2015
CHI,Watson,Matt,M,"$80,620","$91,689.16",2015
KC,Kempin,Jonathan,GK,"$85,000","$92,083.33",2015
ORL,Redding,Tommy,D,"$85,000","$92,500.00",2015
NE,Neumann,Steve,M-F,"$71,500","$92,750.00",2015
NYRB,Zizzo,Sal,F,"$80,850","$94,895.71",2015
DC,Birnbaum,Steven,D,"$66,000","$96,000.00",2015
SJ,Renato,Paulo,D,"$96,000","$96,000.00",2015
ORL,Ceren,Darwin,M,"$66,000","$96,437.50",2015
COL,Irwin,Clint,GK,"$85,000","$97,000.00",2015
TOR,Bloom,Mark,D,"$90,000","$97,348.89",2015
NYRB,Davis,Sean,M,"$80,000","$97,500.00",2015
CLB,Wahl,Tyson,D,"$95,000","$99,666.67",2015
COL,Figueroa,Maynor,D,"$99,996","$99,996.00",2015
SJ,Amarikwa,Quincy,F,"$100,000","$100,000.00",2015
SEA,Barrett,Chad,F,"$95,000","$100,000.00",2015
MTL,Bitolo,Ambroise,D,"$100,000","$100,000.00",2015
MTL,Bush,Evan,GK,"$100,000","$100,000.00",2015
VAN,Earnshaw,Robert,F,"$100,000","$100,000.00",2015
MTL,Romero,Andres,F,"$100,000","$100,000.00",2015
LA,Lletget,Sebastian,M,"$95,000","$100,500.04",2015
CHI,Gehrig,Eric,M,"$95,000","$100,833.33",2015
NE,Barnes,Darrius,D,"$95,000","$101,666.67",2015
SEA,Roldan,Cristian,M,"$80,000","$102,000.00",2015
VAN,Smith,Jordan,D,"$95,000","$102,743.04",2015
COL,Hairston,Marlon,M,"$80,000","$103,000.00",2015
NYRB,Richards,Dane,M,"$105,000","$105,000.00",2015
CHI,Stephens,Michael,M,"$95,000","$105,000.00",2015
LA,Buddle,Edson,F,"$100,000","$106,250.00",2015
DC,Korb,Chris,D,"$99,000","$106,479.83",2015
ORL,Donovan,Conor,D,"$80,000","$108,000.00",2015
PHI,Berry,Austin,D,"$93,519","$108,519.00",2015
ORL,Hines,Sebastian,D,"$108,576","$109,826.00",2015
COL,Burch,Marc,D,"$110,000","$110,000.00",2015
NYCFC,Mullins,Patrick,F,"$80,000","$110,000.00",2015
CLB,Saeid,Mohammed,M,"$100,000","$110,000.00",2015
NE,Shuttleworth,Robert,GK,"$101,250","$111,250.00",2015
ORL,Molino,Kevin,M,"$100,000","$111,400.00",2015
VAN,Manneh,Kekuta,F,"$82,500","$112,000.00",2015
TOR,Morgan,Ashtone,D,"$100,000","$112,000.00",2015
PHI,Lahoud,Michael,M,"$108,900","$112,233.33",2015
ORL,Cascio,Tony,M,"$78,529","$112,279.00",2015
CHI,Shipp,Harrison,F,"$87,500","$112,500.00",2015
HOU,Deric,Tyler,GK,"$105,000","$112,666.67",2015
VAN,Hurtado,Erik,F/M,"$78,265","$113,265.00",2015
